year,label
1936,[0-1000)
1937,[0-1000)
1938,[0-1000)
1939,[0-1000)
1940,[0-1000)
1941,[0-1000)
1942,[0-1000)
1943,[0-1000)
1944,[0-1000)
1945,[0-1000)
1946,[0-1000)
1947,[0-1000)
1948,[0-1000)
1949,[0-1000)
1950,[0-1000)
1951,[0-1000)
1952,[0-1000)
1953,[0-1000)
1954,[0-1000)
1955,[0-1000)
1956,[0-1000)
1957,[0-1000)
1958,[0-1000)
1959,[0-1000)
1960,[0-1000)
1961,[0-1000)
1962,[1000-2000)
1963,[0-1000)
1964,[0-1000)
1965,[1000-2000)
1966,[1000-2000)
1967,[1000-2000)
1968,[2000-3000)
1969,[1000-2000)
1970,[1000-2000)
1971,[2000-3000)
1972,greater than 3000
1973,greater than 3000
1974,greater than 3000
1975,greater than 3000
1976,greater than 3000
1977,greater than 3000
1978,greater than 3000
1979,greater than 3000
1980,greater than 3000
1981,greater than 3000
1982,greater than 3000
1983,greater than 3000
1984,greater than 3000
1985,greater than 3000
1986,greater than 3000
1987,greater than 3000
1988,greater than 3000
1989,greater than 3000
1990,greater than 3000
1991,greater than 3000
1992,greater than 3000
1993,greater than 3000
1994,greater than 3000
1995,greater than 3000
1996,greater than 3000
1997,greater than 3000
1998,greater than 3000
1999,greater than 3000
2000,greater than 3000
2001,greater than 3000
2002,greater than 3000
2003,greater than 3000
2004,greater than 3000
2005,greater than 3000
2006,greater than 3000
2007,greater than 3000
2008,greater than 3000
2009,greater than 3000
2010,greater than 3000
2011,greater than 3000
2012,greater than 3000
2013,greater than 3000
2014,greater than 3000
2015,greater than 3000
2016,greater than 3000
2017,greater than 3000
2018,greater than 3000
2019,greater than 3000
